3.5,3.5,1.5,1.3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
3.5,3.5,1.5,1.3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,
4.5,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,
6,6,6,6,6.3,6.3,6,1.5,1.5,6,1.5,1.5,
4.3,6,6.3,6,6.3,6.3,6,6,6,6,6,6,
6,6,6,6.3,6.5,6.3,6,6,6,6,6,6,
6,6,6.3,6,6,6.3,6.3,6,6,6,6,6.5,
6,6,6,6,6,6.3,6.5,6,6,6,6,6,
6,6,6.3,6,6,6,6,6,6,6,6,8.8,
6,6,6.3,6.3,6.5,6.3,6.3,6.3,6,8.5,6,8.8,
6.3,6.5,6.3,6.3,8.8,8.5,8.75,8.75,8,8.5,8.5,8.5,
8.8,9,8.5,8.5,8.8,8.5,8.5,8.5,9,8.5,8.5,8.5,E
8.8,9,8.8,8.8,8.75,8.75,8.5,8.5,8.5,8.5,8.5,8.5,
8.3,9,8.5,8.8,8.75,8.8,9,8.5,8.5,8.5,8.5,8.5,
8.6,9,8.75,8.8,8.75,8.8,8.75,8.5,8.75,8.5,8.5,8.5,
8.5,9,8.5,8.5,8.75,8.8,8.5,8.5,8.75,8.8,8.5,8.5,
8.5,8.5,8.5,8.5,8.5,8.8,8.5,8.5,8.75,8.8,8.5,8.8,
7,8.5,8.7,8.8,8.75,8.8,8.5,8.5,8.7,8.8,8.6,8.5,
