X,Y,Z
0,0,8.5
0,1,8.5
0,2,8.5
0,3,8.5
0,4,8.5
0,5,8.5
0,6,8.5
0,7,8.5
0,8,8.5
0,9,8.5
0,10,8.5
0,11,8.5
1,0,8.5
1,1,8.5
1,2,8.5
1,3,8.5
1,4,8.5
1,5,8.5
1,6,8.5
1,7,8.5
1,8,8.5
1,9,8.5
1,10,8.5
1,11,8.5
2,0,8.5
2,1,8.5
2,2,8.5
2,3,8.5
2,4,8.5
2,5,8.5
2,6,8.5
2,7,8.5
2,8,8.5
2,9,8.5
2,10,8.5
2,11,8.5
3,0,8.5
3,1,8.5
3,2,8.5
3,3,8.5
3,4,6
3,5,6
3,6,6
3,7,6
3,8,6
3,9,6
3,10,6
3,11,6
4,0,8.5
4,1,8.5
4,2,5.5
4,3,8
4,4,5.5
4,5,6
4,6,6
4,7,6
4,8,6
4,9,11.5
4,10,11.5
4,11,11
5,0,8.5
5,1,8.5
5,2,8.5
5,3,6
5,4,6
5,5,31
5,6,31
5,7,6
5,8,11.5
5,9,11.5
5,10,10.5
5,11,9
6,0,8.5
6,1,8.5
6,2,6.5
6,3,6
6,4,6
6,5,31
6,6,31
6,7,5.5
6,8,11.5
6,9,11
6,10,9.5
6,11,7.5
7,0,6.5
7,1,6
7,2,6
7,3,6
7,4,6
7,5,6
7,6,6
7,7,6
7,8,11
7,9,10
7,10,8.5
7,11,7.5
8,0,6
8,1,6
8,2,6
8,3,6
8,4,6
8,5,6
8,6,6
8,7,6
8,8,11.5
8,9,10
8,10,8.5
8,11,7.5
9,0,6
9,1,6
9,2,6
9,3,6
9,4,6
9,5,6
9,6,6
9,7,6
9,8,11.1
9,9,11
9,10,13.5
9,11,12
10,0,6
10,1,6
10,2,6
10,3,6
10,4,6
10,5,6
10,6,6
10,7,6
10,8,11.5
10,9,11.5
10,10,11.5
10,11,7.5
11,0,6
11,1,6
11,2,6
11,3,6
11,4,6
11,5,6
11,6,6
11,7,6
11,8,6
11,9,6
11,10,11.5
11,11,11.5
12,0,6
12,1,6
12,2,6
12,3,6
12,4,6
12,5,6
12,6,6
12,7,6
12,8,6
12,9,6
12,10,6
12,11,6
13,0,6
13,1,6
13,2,6
13,3,6
13,4,6
13,5,6
13,6,6
13,7,6
13,8,6
13,9,6
13,10,6
13,11,6
14,0,6
14,1,6
14,2,6
14,3,6
14,4,6
14,5,6
14,6,6
14,7,6
14,8,6
14,9,3.5
14,10,3.5
14,11,3.5
15,0,6
15,1,6
15,2,6
15,3,6
15,4,3.5
15,5,3.5
15,6,3.5
15,7,3.5
15,8,3.5
15,9,3.5
15,10,3.5
15,11,3.5
16,0,3.5
16,1,3.5
16,2,3.5
16,3,3.5
16,4,3.5
16,5,3.5
16,6,3.5
16,7,3.5
16,8,3.5
16,9,3.5
16,10,3.5
16,11,3.5
17,0,3.5
17,1,3.5
17,2,3.5
17,3,3.5
17,4,3.5
17,5,3.5
17,6,3.5
17,7,3.5
17,8,3.5
17,9,3.5
17,10,3.5
17,11,3.5
