X,Y,Z
0,0,0.5
0,1,0.5
0,2,3
0,3,3
0,4,2.8
0,5,2.8
0,6,3
0,7,3
0,8,3
0,9,0.75
0,10,0.5
0,11,0.5
1,0,0.5
1,1,0.5
1,2,4.2
1,3,0.2
1,4,2.9
1,5,2.7
1,6,2.9
1,7,3
1,8,3
1,9,3
1,10,0.75
1,11,1
2,0,1
2,1,0.5
2,2,0.2
2,3,0.2
2,4,0
2,5,2.7
2,6,2.9
2,7,3
2,8,2.9
2,9,3
2,10,3
2,11,3
3,0,3.1
3,1,0.3
3,2,0.2
3,3,0.1
3,4,0
3,5,2.8
3,6,2.9
3,7,3
3,8,3.1
3,9,3
3,10,3
3,11,3
4,0,3
4,1,3
4,2,0.2
4,3,0.1
4,4,0
4,5,0
4,6,2.9
4,7,3
4,8,3
4,9,3
4,10,3
4,11,3
5,0,3
5,1,3
5,2,0.3
5,3,3
5,4,0
5,5,0
5,6,2.9
5,7,3
5,8,3
5,9,3
5,10,3
5,11,3
6,0,3.1
6,1,3
6,2,0.3
6,3,0.1
6,4,2.9
6,5,0
6,6,0.1
6,7,3
6,8,3
6,9,3
6,10,3
6,11,3
7,0,3.1
7,1,3
7,2,0.3
7,3,3
7,4,2.9
7,5,0
7,6,0.1
7,7,3
7,8,3.1
7,9,3
7,10,3
7,11,3
8,0,3.1
8,1,3.1
8,2,0.3
8,3,3
8,4,2.9
8,5,0
8,6,2.8
8,7,2.9
8,8,3
8,9,3
8,10,3
8,11,3
9,0,3.1
9,1,3.1
9,2,0.3
9,3,0.2
9,4,2.9
9,5,0
9,6,0
9,7,2.9
9,8,2.8
9,9,3
9,10,3
9,11,3
10,0,3.1
10,1,3.1
10,2,0.3
10,3,3
10,4,2.8
10,5,0
10,6,0
10,7,2.7
10,8,2.8
10,9,3
10,10,3
10,11,3
11,0,3.1
11,1,3.1
11,2,3
11,3,2.9
11,4,2.7
11,5,2.7
11,6,0
11,7,0
11,8,2.9
11,9,3
11,10,3
11,11,3
12,0,3.1
12,1,3.1
12,2,2.9
12,3,2.9
12,4,3
12,5,3
12,6,2.9
12,7,0
12,8,2.9
12,9,3
12,10,3
12,11,3
13,0,3.1
13,1,3
13,2,0.1
13,3,0.1
13,4,2.7
13,5,3
13,6,2.9
13,7,0.1
13,8,2.8
13,9,3
13,10,3
13,11,3
14,0,3.1
14,1,3
14,2,0.1
14,3,3
14,4,2.9
14,5,2.9
14,6,2.8
14,7,0
14,8,0.1
14,9,3
14,10,3
14,11,3
15,0,3.1
15,1,0.4
15,2,3
15,3,3
15,4,2.8
15,5,2.8
15,6,2.7
15,7,2.8
15,8,2.9
15,9,0
15,10,3
15,11,3
16,0,3.1
16,1,0.3
16,2,3
16,3,3
16,4,2.8
16,5,2.9
16,6,2.9
16,7,2.9
16,8,2.8
16,9,3
16,10,0
16,11,3
17,0,0.6
17,1,0.3
17,2,3
17,3,3
17,4,3
17,5,2.8
17,6,2.5
17,7,2.6
17,8,2.6
17,9,3
17,10,2.5
17,11,0
