X,Y,Z
0,0,4
0,1,4
0,2,4
0,3,4
0,4,3.5
0,5,3.5
0,6,3.5
0,7,3.5
0,8,3.5
0,9,3.5
0,10,1
0,11,1
1,0,4
1,1,4
1,2,4
1,3,4
1,4,3.5
1,5,3.5
1,6,3.5
1,7,3.5
1,8,3.5
1,9,3.5
1,10,1
1,11,1
2,0,4
2,1,4
2,2,4
2,3,4
2,4,3.5
2,5,3.5
2,6,3.5
2,7,3.5
2,8,3.5
2,9,3.5
2,10,1
2,11,1
3,0,3.5
3,1,3.5
3,2,3.5
3,3,3.5
3,4,3.5
3,5,3.5
3,6,3.5
3,7,3.5
3,8,1
3,9,1
3,10,1
3,11,1
4,0,3.5
4,1,3.5
4,2,3.5
4,3,3.5
4,4,3.5
4,5,3.5
4,6,3.5
4,7,3.5
4,8,1
4,9,1
4,10,1
4,11,3.5
5,0,1
5,1,1
5,2,3.5
5,3,3.5
5,4,3.5
5,5,3.6
5,6,3.6
5,7,1
5,8,1
5,9,3.5
5,10,3.5
5,11,3.5
6,0,1
6,1,1
6,2,3.5
6,3,3.5
6,4,3.5
6,5,3.6
6,6,3.6
6,7,1
6,8,1
6,9,3.5
6,10,3.5
6,11,3.5
7,0,1
7,1,1
7,2,3.5
7,3,3.5
7,4,3.5
7,5,3.5
7,6,3.5
7,7,3.5
7,8,3.5
7,9,3.5
7,10,3.5
7,11,3.5
8,0,3.5
8,1,3.5
8,2,3.5
8,3,3.5
8,4,3.5
8,5,3.5
8,6,3.5
8,7,3.5
8,8,3.5
8,9,3.5
8,10,3.5
8,11,3.5
9,0,3.5
9,1,3.5
9,2,3.5
9,3,3.5
9,4,1
9,5,1
9,6,1
9,7,3.5
9,8,3.5
9,9,3.5
9,10,3.5
9,11,3.5
10,0,3.5
10,1,3.5
10,2,3.5
10,3,1
10,4,1
10,5,1
10,6,3.5
10,7,3.5
10,8,3.5
10,9,3.5
10,10,3.5
10,11,3.5
11,0,3.5
11,1,3.5
11,2,1
11,3,1
11,4,3.5
11,5,3.6
11,6,3.6
11,7,3.5
11,8,3.5
11,9,3.5
11,10,3.5
11,11,3.5
12,0,3.5
12,1,3.5
12,2,1
12,3,3.5
12,4,3.5
12,5,3.6
12,6,3.6
12,7,3.5
12,8,3.5
12,9,3.5
12,10,3.5
12,11,3.5
13,0,3.5
13,1,3.5
13,2,1
13,3,3.5
13,4,3.5
13,5,3.5
13,6,3.5
13,7,3.5
13,8,3.5
13,9,3.5
13,10,3.5
13,11,3.5
14,0,3.5
14,1,3.5
14,2,3.5
14,3,1
14,4,3.5
14,5,3.5
14,6,3.5
14,7,3.5
14,8,3.5
14,9,3.5
14,10,3.5
14,11,3.5
15,0,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,3.5
15,6,3.5
15,7,3.5
15,8,3.5
15,9,3.5
15,10,3.5
15,11,3.5
16,0,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,3.5
16,9,3.5
16,10,3.5
16,11,3.5
17,0,1
17,1,1
17,2,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,1
17,10,1
17,11,1
