X,Y,Z
0,0,3.5
0,1,3.5
0,2,3.5
0,3,3.5
0,4,3.5
0,5,3.5
0,6,3.5
0,7,3.5
0,8,3.5
0,9,3.5
0,10,3.5
0,11,0.9
1,0,3.5
1,1,3.5
1,2,3.5
1,3,3.5
1,4,3.5
1,5,3.5
1,6,3.5
1,7,3.5
1,8,3.5
1,9,3.5
1,10,0.8
1,11,0.9
2,0,3.5
2,1,3.5
2,2,3.5
2,3,3.5
2,4,3.5
2,5,3.5
2,6,3.5
2,7,3.5
2,8,0.7
2,9,0.7
2,10,3.5
2,11,3.5
3,0,3.5
3,1,3.5
3,2,3.5
3,3,3.5
3,4,3.5
3,5,3.5
3,6,3.5
3,7,0.7
3,8,0.7
3,9,0.9
3,10,3.5
3,11,3.5
4,0,3.5
4,1,3.5
4,2,3.5
4,3,3.5
4,4,3.5
4,5,3.5
4,6,3.5
4,7,0.9
4,8,0.8
4,9,3.5
4,10,3.5
4,11,3.5
5,0,3.5
5,1,3.5
5,2,3.5
5,3,3.5
5,4,3.5
5,5,3.5
5,6,3.5
5,7,1
5,8,0.9
5,9,0.8
5,10,3.5
5,11,3.5
6,0,3.5
6,1,3.5
6,2,3.5
6,3,3.5
6,4,3.5
6,5,3.5
6,6,3.5
6,7,0.8
6,8,0.9
6,9,3.5
6,10,3.5
6,11,3.5
7,0,3.5
7,1,3.5
7,2,3.5
7,3,3.5
7,4,3.5
7,5,3.5
7,6,0.8
7,7,0.8
7,8,3.5
7,9,3.5
7,10,3.5
7,11,3.5
8,0,3.5
8,1,3.5
8,2,3.5
8,3,3.5
8,4,3.5
8,5,3.5
8,6,0.7
8,7,0.9
8,8,3.5
8,9,3.5
8,10,3.5
8,11,3.5
9,0,3.5
9,1,3.5
9,2,3.5
9,3,3.5
9,4,3.5
9,5,3.5
9,6,1
9,7,0.9
9,8,3.5
9,9,3.5
9,10,3.5
9,11,3.5
10,0,3.5
10,1,3.5
10,2,3.5
10,3,3.5
10,4,3.5
10,5,3.5
10,6,0.8
10,7,0.8
10,8,3.5
10,9,3.5
10,10,3.5
10,11,3.5
11,0,3.5
11,1,3.5
11,2,3.5
11,3,3.5
11,4,3.5
11,5,3.5
11,6,3.5
11,7,0.7
11,8,0.8
11,9,3.5
11,10,3.5
11,11,3.5
12,0,3.5
12,1,3.5
12,2,3.5
12,3,3.5
12,4,3.5
12,5,3.5
12,6,3.5
12,7,0.6
12,8,0.9
12,9,3.5
12,10,3.5
12,11,3.5
13,0,3.5
13,1,3.5
13,2,3.5
13,3,3.5
13,4,3.5
13,5,3.5
13,6,3.5
13,7,0.9
13,8,0.9
13,9,3.5
13,10,3.5
13,11,3.5
14,0,3.5
14,1,3.5
14,2,3.5
14,3,3.5
14,4,3.5
14,5,3.5
14,6,3.5
14,7,0.8
14,8,0.8
14,9,0.8
14,10,3.5
14,11,3.4
15,0,3.5
15,1,3.5
15,2,3.5
15,3,3.5
15,4,3.5
15,5,3.5
15,6,3.5
15,7,3.2
15,8,0.8
15,9,0.8
15,10,3.3
15,11,3.4
16,0,3.7
16,1,3.5
16,2,3.5
16,3,3.5
16,4,3.5
16,5,3.5
16,6,3.5
16,7,3.5
16,8,3.5
16,9,0.75
16,10,3.4
16,11,0.75
17,0,3.5
17,1,3.5
17,2,3.5
17,3,3.5
17,4,3.5
17,5,3.5
17,6,3.5
17,7,3.5
17,8,3.5
17,9,1.8
17,10,0.9
17,11,1
