X,Y,Z
0,0,5.9
0,1,5.7
0,2,5.7
0,3,5.6
0,4,5.7
0,5,5.8
0,6,5.7
0,7,5.9
0,8,5.8
0,9,5.5
0,10,3.4
0,11,5.1
1,0,5.8
1,1,5.8
1,2,5.8
1,3,5.6
1,4,5.7
1,5,5.8
1,6,5.7
1,7,5.7
1,8,5.8
1,9,3.3
1,10,3.4
1,11,3.4
2,0,5.8
2,1,5.8
2,2,5.7
2,3,5.6
2,4,5.7
2,5,5.6
2,6,5.7
2,7,3.4
2,8,3.4
2,9,3.3
2,10,3.3
2,11,3.3
3,0,5.7
3,1,5.7
3,2,5.7
3,3,5.7
3,4,5.7
3,5,3
3,6,3.2
3,7,3.4
3,8,3.4
3,9,3.3
3,10,3.3
3,11,3.3
4,0,3.4
4,1,3.4
4,2,3.4
4,3,3.1
4,4,3
4,5,3.1
4,6,3.2
4,7,3.3
4,8,3.3
4,9,3.2
4,10,5.7
4,11,5.7
5,0,3.5
5,1,3.3
5,2,3.3
5,3,3.3
5,4,3
5,5,3.1
5,6,3.2
5,7,3.3
5,8,3.3
5,9,5.6
5,10,5.7
5,11,5.6
6,0,3.4
6,1,3.3
6,2,3.2
6,3,3
6,4,2.9
6,5,3
6,6,3.1
6,7,3.3
6,8,3.3
6,9,5.7
6,10,7.6
6,11,5.7
7,0,3.4
7,1,3.4
7,2,3.3
7,3,2.9
7,4,2.9
7,5,3.1
7,6,3.1
7,7,8.1
7,8,5.8
7,9,5.4
7,10,7.7
7,11,5.6
8,0,3.2
8,1,3.3
8,2,3.3
8,3,3
8,4,2.8
8,5,2.9
8,6,2.9
8,7,8.2
8,8,8
8,9,5.5
8,10,5.2
8,11,5.7
9,0,3.3
9,1,8
9,2,8.3
9,3,8.3
9,4,8.2
9,5,8.2
9,6,8.3
9,7,8.2
9,8,8.2
9,9,5.5
9,10,5.6
9,11,5.7
10,0,8.3
10,1,8.3
10,2,8.3
10,3,8.3
10,4,8.3
10,5,8.2
10,6,8.3
10,7,8.3
10,8,8.2
10,9,6
10,10,8.1
10,11,5.4
11,0,8.3
11,1,8.3
11,2,8.3
11,3,8.2
11,4,8.2
11,5,8.3
11,6,8.3
11,7,8.2
11,8,8.2
11,9,6.1
11,10,7.8
11,11,8
12,0,8.3
12,1,8.3
12,2,8.3
12,3,8.3
12,4,8.2
12,5,8.3
12,6,8.1
12,7,8.2
12,8,8.3
12,9,8
12,10,8
12,11,8
13,0,8.4
13,1,8.2
13,2,8.3
13,3,8.3
13,4,8
13,5,8.2
13,6,8.3
13,7,8.2
13,8,8.2
13,9,8
13,10,7.9
13,11,8.1
14,0,8.3
14,1,8.3
14,2,8.2
14,3,8.3
14,4,8.3
14,5,8.2
14,6,8.3
14,7,8.3
14,8,8.2
14,9,8
14,10,8
14,11,8.1
15,0,8.3
15,1,8.4
15,2,8.3
15,3,8.3
15,4,8.3
15,5,8.3
15,6,8.2
15,7,8.3
15,8,8.3
15,9,8.1
15,10,7.9
15,11,8.1
16,0,8.2
16,1,8.3
16,2,8.3
16,3,8.3
16,4,8.3
16,5,8.3
16,6,8.3
16,7,8.3
16,8,8.3
16,9,8.1
16,10,8
16,11,8
17,0,7.8
17,1,8.3
17,2,8.3
17,3,8.3
17,4,8.3
17,5,8.3
17,6,8.3
17,7,8.3
17,8,8.3
17,9,8.1
17,10,8.1
17,11,7.1
