X,Y,Z
0,0,3.5
0,1,3.5
0,2,1.5
0,3,1.3
0,4,1.5
0,5,1.5
0,6,1.5
0,7,1.5
0,8,1.5
0,9,1.5
0,10,1.5
0,11,1.5
1,0,3.5
1,1,3.5
1,2,1.5
1,3,1.3
1,4,1.5
1,5,1.5
1,6,1.5
1,7,1.5
1,8,1.5
1,9,1.5
1,10,1.5
1,11,1.3
2,0,4.5
2,1,3.5
2,2,3.5
2,3,3.5
2,4,1.5
2,5,1.5
2,6,1.5
2,7,1.5
2,8,1.5
2,9,1.5
2,10,1.5
2,11,1.3
3,0,6
3,1,6
3,2,6
3,3,6
3,4,6.3
3,5,6.3
3,6,6
3,7,1.5
3,8,1.5
3,9,6
3,10,1.5
3,11,1.5
4,0,4.3
4,1,6
4,2,6.3
4,3,6
4,4,6.3
4,5,6.3
4,6,6
4,7,6
4,8,6
4,9,6
4,10,6
4,11,6
5,0,6
5,1,6
5,2,6
5,3,6.3
5,4,6.5
5,5,6.3
5,6,6
5,7,6
5,8,6
5,9,6
5,10,6
5,11,6
6,0,6
6,1,6
6,2,6.3
6,3,6
6,4,6
6,5,6.3
6,6,6.3
6,7,6
6,8,6
6,9,6
6,10,6
6,11,6.5
7,0,6
7,1,6
7,2,6
7,3,6
7,4,6
7,5,6.3
7,6,6.5
7,7,6
7,8,6
7,9,6
7,10,6
7,11,6
8,0,6
8,1,6
8,2,6.3
8,3,6
8,4,6
8,5,6
8,6,6
8,7,6
8,8,6
8,9,6
8,10,6
8,11,8.8
9,0,6
9,1,6
9,2,6.3
9,3,6.3
9,4,6.5
9,5,6.3
9,6,6.3
9,7,6.3
9,8,6
9,9,8.5
9,10,6
9,11,8.8
10,0,6.3
10,1,6.5
10,2,6.3
10,3,6.3
10,4,8.8
10,5,8.5
10,6,8.75
10,7,8.75
10,8,8
10,9,8.5
10,10,8.5
10,11,8.5
11,0,8.8
11,1,9
11,2,8.5
11,3,8.5
11,4,8.8
11,5,8.5
11,6,8.5
11,7,8.5
11,8,9
11,9,8.5
11,10,8.5
11,11,8.5
12,0,8.8
12,1,9
12,2,8.8
12,3,8.8
12,4,8.75
12,5,8.75
12,6,8.5
12,7,8.5
12,8,8.5
12,9,8.5
12,10,8.5
12,11,8.5
13,0,8.3
13,1,9
13,2,8.5
13,3,8.8
13,4,8.75
13,5,8.8
13,6,9
13,7,8.5
13,8,8.5
13,9,8.5
13,10,8.5
13,11,8.5
14,0,8.6
14,1,9
14,2,8.75
14,3,8.8
14,4,8.75
14,5,8.8
14,6,8.75
14,7,8.5
14,8,8.75
14,9,8.5
14,10,8.5
14,11,8.5
15,0,8.5
15,1,9
15,2,8.5
15,3,8.5
15,4,8.75
15,5,8.8
15,6,8.5
15,7,8.5
15,8,8.75
15,9,8.8
15,10,8.5
15,11,8.5
16,0,8.5
16,1,8.5
16,2,8.5
16,3,8.5
16,4,8.5
16,5,8.8
16,6,8.5
16,7,8.5
16,8,8.75
16,9,8.8
16,10,8.5
16,11,8.8
17,0,7
17,1,8.5
17,2,8.7
17,3,8.8
17,4,8.75
17,5,8.8
17,6,8.5
17,7,8.5
17,8,8.7
17,9,8.8
17,10,8.6
17,11,8.5
