X,Y,Z
0,0,0.2
0,1,0.5
0,2,2.8
0,3,2.9
0,4,2.9
0,5,3
0,6,3
0,7,3
0,8,2.8
0,9,0.1
0,10,0.2
0,11,0.1
1,0,0.4
1,1,2.7
1,2,2.8
1,3,3
1,4,3
1,5,3
1,6,3
1,7,2.9
1,8,2.9
1,9,2.8
1,10,0
1,11,2.6
2,0,0.4
2,1,2.8
2,2,2.8
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,2.9
2,10,2.8
2,11,2.6
3,0,2.8
3,1,2.9
3,2,3
3,3,2.8
3,4,2.9
3,5,3
3,6,3
3,7,2.8
3,8,2.8
3,9,2.9
3,10,2.9
3,11,2.9
4,0,2.7
4,1,3
4,2,3
4,3,0.5
4,4,3
4,5,3
4,6,3
4,7,3
4,8,2.8
4,9,2.9
4,10,2.9
4,11,2.9
5,0,2.8
5,1,2.8
5,2,3
5,3,0.5
5,4,0.6
5,5,3
5,6,3
5,7,3
5,8,2.9
5,9,2.5
5,10,2.7
5,11,2.9
6,0,2.8
6,1,2.8
6,2,3
6,3,1
6,4,0.8
6,5,3
6,6,3
6,7,3
6,8,2.8
6,9,3
6,10,2.9
6,11,3
7,0,2.7
7,1,2.9
7,2,3
7,3,3
7,4,2.8
7,5,3
7,6,3
7,7,3
7,8,2.9
7,9,3
7,10,2.7
7,11,2.7
8,0,2.5
8,1,3
8,2,3
8,3,3
8,4,2.9
8,5,3
8,6,2.8
8,7,2.7
8,8,2.9
8,9,2.6
8,10,2.5
8,11,2.8
9,0,2.8
9,1,2.9
9,2,2.9
9,3,3
9,4,3
9,5,3
9,6,3
9,7,2.9
9,8,2.8
9,9,2.8
9,10,2.9
9,11,3
10,0,2.7
10,1,2.9
10,2,3
10,3,3
10,4,3
10,5,3
10,6,3
10,7,3
10,8,3
10,9,2.7
10,10,3
10,11,3
11,0,2.7
11,1,2.9
11,2,2.9
11,3,3
11,4,3.1
11,5,3
11,6,3
11,7,3
11,8,3
11,9,3
11,10,3
11,11,3
12,0,2.8
12,1,2.9
12,2,3
12,3,3
12,4,3
12,5,3
12,6,3
12,7,3
12,8,3
12,9,2.9
12,10,3.1
12,11,2.9
13,0,2.7
13,1,3
13,2,3
13,3,2.9
13,4,3
13,5,3
13,6,3
13,7,3
13,8,3
13,9,3
13,10,3
13,11,2.9
14,0,2.7
14,1,2.9
14,2,3
14,3,3
14,4,3
14,5,3
14,6,3
14,7,3
14,8,2.9
14,9,3
14,10,3
14,11,2.9
15,0,2.6
15,1,2.8
15,2,3
15,3,3
15,4,3
15,5,3
15,6,3
15,7,3
15,8,3
15,9,3
15,10,2.8
15,11,3
16,0,2.7
16,1,2.8
16,2,3
16,3,3
16,4,3
16,5,3
16,6,3
16,7,3
16,8,3
16,9,3
16,10,0.5
16,11,0.5
17,0,3
17,1,2.8
17,2,3
17,3,3
17,4,3
17,5,3
17,6,3
17,7,3
17,8,3.1
17,9,0.5
17,10,0.5
17,11,0.5
