X,Y,Z
0,0,1.5
0,1,1.5
0,2,1.8
0,3,1.7
0,4,1.5
0,5,1.7
0,6,1.5
0,7,2
0,8,1.8
0,9,2
0,10,1.8
0,11,2
1,0,1.8
1,1,1.8
1,2,1.6
1,3,1.7
1,4,1.7
1,5,1.6
1,6,1.5
1,7,1.9
1,8,1.9
1,9,2
1,10,4
1,11,6.9
2,0,1.9
2,1,2
2,2,1.9
2,3,1.7
2,4,1.8
2,5,1.7
2,6,1.8
2,7,3.8
2,8,4.1
2,9,4
2,10,4
2,11,6.8
3,0,1.9
3,1,2
3,2,1.7
3,3,1.6
3,4,4.7
3,5,4.7
3,6,4.8
3,7,3.8
3,8,4
3,9,4
3,10,4
3,11,6.5
4,0,1.9
4,1,6.3
4,2,1.9
4,3,6.2
4,4,6.3
4,5,6.6
4,6,6.4
4,7,3.9
4,8,6.2
4,9,4
4,10,4
4,11,6.5
5,0,6.5
5,1,6.1
5,2,6.3
5,3,6.2
5,4,6.5
5,5,1
5,6,1
5,7,6.7
5,8,4
5,9,6.5
5,10,4
5,11,4
6,0,6.2
6,1,6.2
6,2,6.2
6,3,6.2
6,4,6.3
6,5,1
6,6,1
6,7,6.5
6,8,6.3
6,9,6.5
6,10,6.5
6,11,6.5
7,0,6.3
7,1,6.2
7,2,6.6
7,3,6.2
7,4,6.5
7,5,6.3
7,6,6.5
7,7,6.5
7,8,6.2
7,9,6.5
7,10,6.3
7,11,6.5
8,0,6.3
8,1,6.2
8,2,6.5
8,3,6.3
8,4,6.5
8,5,6.4
8,6,6.5
8,7,6.5
8,8,6.2
8,9,6.5
8,10,6.5
8,11,6.2
9,0,8.9
9,1,9
9,2,9
9,3,8.9
9,4,9
9,5,6.3
9,6,6.3
9,7,6.2
9,8,6.3
9,9,6.7
9,10,6.5
9,11,6.2
10,0,9
10,1,9
10,2,9
10,3,9
10,4,9
10,5,8.9
10,6,9
10,7,6.5
10,8,6.2
10,9,6.5
10,10,6.4
10,11,6.2
11,0,9
11,1,9
11,2,9
11,3,9
11,4,9
11,5,1
11,6,1
11,7,9
11,8,6.5
11,9,6.5
11,10,6.5
11,11,6.2
12,0,9
12,1,9
12,2,9
12,3,9
12,4,9
12,5,1
12,6,1
12,7,9
12,8,9
12,9,9
12,10,6.7
12,11,6.1
13,0,9
13,1,9
13,2,9
13,3,9
13,4,9
13,5,8.9
13,6,9
13,7,9
13,8,9
13,9,9
13,10,8.9
13,11,6.3
14,0,9
14,1,9
14,2,9
14,3,9
14,4,9
14,5,9
14,6,9
14,7,9
14,8,8.8
14,9,8.9
14,10,8.9
14,11,9
15,0,9
15,1,9
15,2,9
15,3,9
15,4,9
15,5,9
15,6,8.8
15,7,9
15,8,8.9
15,9,9.1
15,10,8.8
15,11,9
16,0,9
16,1,9
16,2,9
16,3,9
16,4,9
16,5,9
16,6,8.8
16,7,8.9
16,8,8.8
16,9,9
16,10,8.8
16,11,9
17,0,9
17,1,9
17,2,4
17,3,4
17,4,9
17,5,8.9
17,6,8.6
17,7,8.9
17,8,8.9
17,9,4
17,10,8.9
17,11,7.2
