X,Y,Z
0,0,8
0,1,7.9
0,2,8
0,3,8
0,4,10.5
0,5,10.5
0,6,11.5
0,7,10.5
0,8,23
0,9,10.1
0,10,9.8
0,11,10
1,0,8.1
1,1,8.1
1,2,8
1,3,8
1,4,10.5
1,5,10.4
1,6,11.5
1,7,10.5
1,8,10.2
1,9,10.1
1,10,10.1
1,11,10
2,0,8.2
2,1,8.2
2,2,8.1
2,3,8
2,4,8
2,5,10.4
2,6,11.5
2,7,10.5
2,8,10.2
2,9,10.2
2,10,10.2
2,11,10
3,0,8.5
3,1,8.2
3,2,8.1
3,3,8.1
3,4,8
3,5,8
3,6,11.5
3,7,10.5
3,8,10.2
3,9,10
3,10,10.2
3,11,10
4,0,8.4
4,1,8.3
4,2,8.1
4,3,8.1
4,4,8
4,5,8
4,6,11.5
4,7,10.5
4,8,10.3
4,9,10.2
4,10,10.1
4,11,10
5,0,8.2
5,1,8.1
5,2,8.2
5,3,8.1
5,4,7.9
5,5,7.9
5,6,8
5,7,8
5,8,10.2
5,9,10.2
5,10,10
5,11,10.5
6,0,8.2
6,1,8.2
6,2,8.2
6,3,8
6,4,8
6,5,8
6,6,8
6,7,8
6,8,8
6,9,10
6,10,8
6,11,7.8
7,0,5.9
7,1,5.3
7,2,8
7,3,8
7,4,8
7,5,8
7,6,8
7,7,8
7,8,8
7,9,8
7,10,8
7,11,7.9
8,0,5.7
8,1,5.4
8,2,8
8,3,8
8,4,8
8,5,8
8,6,8
8,7,8
8,8,8
8,9,8
8,10,8.1
8,11,7.9
9,0,6
9,1,5.5
9,2,5.5
9,3,8
9,4,8
9,5,8
9,6,8
9,7,8
9,8,8
9,9,8
9,10,8.1
9,11,7.9
10,0,5.9
10,1,5.6
10,2,5.3
10,3,5.3
10,4,5.6
10,5,8
10,6,8
10,7,8
10,8,8
10,9,8
10,10,8
10,11,7.8
11,0,5.7
11,1,5.6
11,2,5.4
11,3,5.2
11,4,5.5
11,5,5.5
11,6,8
11,7,8
11,8,8
11,9,8
11,10,8
11,11,8
12,0,5.8
12,1,5.5
12,2,5.4
12,3,5.4
12,4,5.6
12,5,5.6
12,6,7.6
12,7,7.5
12,8,7.9
12,9,5.3
12,10,7.9
12,11,6
13,0,5.9
13,1,6
13,2,5.3
13,3,5.3
13,4,5.3
13,5,5.7
13,6,5.5
13,7,5.5
13,8,5.5
13,9,5.5
13,10,5.3
13,11,5
14,0,5.6
14,1,5.5
14,2,5.4
14,3,5.4
14,4,5.6
14,5,5.5
14,6,5.5
14,7,5.5
14,8,5.5
14,9,5.5
14,10,5.4
14,11,5.4
15,0,5.9
15,1,5.8
15,2,5.4
15,3,5.3
15,4,5.5
15,5,5.7
15,6,5.5
15,7,5.5
15,8,5.3
15,9,5.7
15,10,5.5
15,11,5.4
16,0,5.7
16,1,5.6
16,2,5.3
16,3,5.4
16,4,5.7
16,5,5.7
16,6,5.5
16,7,5.5
16,8,5.8
16,9,5.7
16,10,5.5
16,11,5.3
17,0,4.8
17,1,5.5
17,2,5.4
17,3,5.3
17,4,5.5
17,5,5.7
17,6,5.5
17,7,5.5
17,8,5.8
17,9,5.5
17,10,5.5
17,11,5
