X,Y,Z
0,0,3.5
0,1,4
0,2,4
0,3,4
0,4,4
0,5,4
0,6,4
0,7,4
0,8,4
0,9,3.5
0,10,3.5
0,11,4
1,0,4
1,1,4
1,2,4
1,3,4
1,4,4
1,5,4
1,6,4
1,7,4
1,8,4
1,9,4
1,10,4
1,11,4
2,0,1.5
2,1,1.5
2,2,1.5
2,3,4
2,4,4
2,5,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
2,11,4
3,0,1.5
3,1,1.5
3,2,1.5
3,3,1.5
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
4,0,1.5
4,1,1.5
4,2,1.5
4,3,1.5
4,4,1.5
4,5,1.5
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4.5
5,0,1
5,1,1
5,2,1.5
5,3,1.5
5,4,1.5
5,5,2
5,6,3.5
5,7,4
5,8,4
5,9,4
5,10,4
5,11,4
6,0,1.5
6,1,1.5
6,2,1.5
6,3,1.5
6,4,1.5
6,5,2
6,6,3.5
6,7,4.5
6,8,4.5
6,9,4.5
6,10,4.5
6,11,4
7,0,1.5
7,1,1.5
7,2,1.5
7,3,1.5
7,4,1.5
7,5,1.5
7,6,1.5
7,7,1.5
7,8,1.5
7,9,4
7,10,4
7,11,4.5
8,0,4
8,1,1.5
8,2,1.5
8,3,1.5
8,4,1.5
8,5,1.5
8,6,1.5
8,7,1.5
8,8,1.5
8,9,1.5
8,10,4
8,11,4
9,0,1.5
9,1,3.5
9,2,4
9,3,1.5
9,4,1.5
9,5,1.5
9,6,1.5
9,7,1.5
9,8,1.5
9,9,1.5
9,10,1.5
9,11,1.5
10,0,3.5
10,1,4
10,2,4
10,3,4
10,4,1.5
10,5,1.5
10,6,1.5
10,7,1.5
10,8,1.5
10,9,1.5
10,10,1.5
10,11,1.5
11,0,3.5
11,1,4
11,2,4
11,3,4
11,4,4
11,5,4
11,6,4
11,7,1.5
11,8,1.5
11,9,1.5
11,10,1.5
11,11,1.5
12,0,3.5
12,1,4
12,2,4
12,3,4
12,4,6.5
12,5,6.5
12,6,6.5
12,7,6.5
12,8,1.5
12,9,1.5
12,10,1.5
12,11,1.5
13,0,3.5
13,1,3
13,2,3.5
13,3,6.5
13,4,6.5
13,5,6.5
13,6,6.5
13,7,6.5
13,8,1.5
13,9,1.5
13,10,1.5
13,11,1.5
14,0,6.5
14,1,6.5
14,2,6.5
14,3,6.5
14,4,6.5
14,5,6.5
14,6,6.5
14,7,6.5
14,8,6.5
14,9,6.5
14,10,1.5
14,11,1.5
15,0,6.5
15,1,6.5
15,2,6.5
15,3,6.5
15,4,6.5
15,5,6.5
15,6,6.5
15,7,6.5
15,8,6.5
15,9,6.5
15,10,6.5
15,11,6.5
16,0,6.5
16,1,6.5
16,2,6.5
16,3,6.5
16,4,6.5
16,5,6.5
16,6,6.5
16,7,6.5
16,8,6.5
16,9,6.5
16,10,6.5
16,11,6.5
17,0,8
17,1,8
17,2,6.5
17,3,6
17,4,6.5
17,5,6
17,6,6.5
17,7,6
17,8,6.5
17,9,6
17,10,6.5
17,11,5
